,O15232,O60635,P07585,P08727,P08833,P14136,P16234,P52823,P55259,Q9P0M4,Q9Y653,Class Label
171,-1.4735,-0.188,-1.9283,-1.7959,-2.522,-0.9414,-1.6455,-1.5028,-2.0284,0.4157,-2.136,0
172,-1.2988,-0.4921,-1.1189,-0.733,-0.0273,0.62,-1.389,-1.2046,0.4908,0.5215,-0.5386,0
173,-0.5704,0.582,-1.6933,-0.9952,-2.6853,-1.1378,-2.2795,-1.148,-1.3859,-1.303,-1.9681,0
174,-2.636,-0.3751,-2.0422,-1.841,-0.958,-0.7562,-1.9585,-2.1511,-1.9725,-0.9682,-2.2727,0
175,-2.2718,-0.4569,-2.6541,-1.776,-2.7827,-1.1244,-1.9512,-0.9016,-1.9039,-2.3872,-2.3874,0
176,-1.4691,-0.3914,-1.9012,-2.8834,-3.0473,-1.1987,-1.5335,-1.1411,-1.0827,-1.5061,-1.4977,0
177,-0.6962,-0.5839,-1.8917,-0.4537,-2.3913,-1.2173,-1.966,-0.405,-0.2525,-1.3533,-1.8507,0
178,-0.6295,-0.7539,-1.5273,-0.8603,0.6091,-1.1382,-1.4401,0.3342,-2.4194,0.9099,-0.8346,0
179,-0.856,-0.31,-2.6815,-1.1754,-3.1951,-1.2288,-1.4715,-0.9135,-0.944,-1.5784,-2.6046,0
180,-1.4338,-0.262,-1.8269,-1.1713,-4.2818,-0.9239,-1.4843,-1.0748,-1.4789,-0.8715,-2.4204,0
181,0.1186,-0.3483,-2.162,2.4806,0.8337,-0.4614,-1.2021,-0.5575,-0.5331,-1.7198,-1.7619,0
182,-1.0534,-0.6261,-1.4998,0.6802,-3.8748,-1.6085,-0.9162,-0.3619,-1.9089,-2.1263,-1.4687,0
183,-0.6785,-0.796,-2.689,1.2653,-0.1189,-1.4003,-1.865,-0.268,-0.1741,-0.8919,-2.0024,0
184,-1.3197,-0.6156,-0.981,-1.4837,1.1865,-0.4409,-1.5571,-1.4513,-1.5998,-1.7224,-2.5932,0
185,0.0305,-0.1887,-1.9764,3.7452,2.7793,-1.1968,-0.9651,1.4992,3.0477,0.9227,0.2318,0
186,1.6747,-0.564,0.3794,2.9714,3.4898,0.9134,-0.3142,2.4421,0.32,2.8034,-1.1193,0
187,-0.5125,-0.6915,-1.161,2.4895,-1.2637,0.1918,-1.1892,-0.3654,-1.1949,-1.1919,-2.1545,0
188,-0.0434,-0.4765,-0.61,-0.0571,3.3988,-0.4435,0.191,1.3189,-0.1633,-0.2053,0.0054,0
189,-1.4649,-0.6271,-2.0074,-1.5783,-2.2717,-1.1756,-1.689,-1.3178,-2.4301,-1.961,-2.1215,0
190,-1.3114,-0.5892,-1.6852,1.5082,-1.5194,0.2499,-1.3105,-0.4685,-1.8664,0.0944,-1.9788,0
191,-0.2609,-0.4078,-1.9847,1.2012,1.6101,0.0227,-1.5776,-0.5552,-0.9189,-2.3472,-1.1604,0
192,-1.4066,-0.2667,-2.5552,-0.8201,-0.9105,-0.6521,-1.2759,-1.2434,-2.1221,-0.4336,-2.2373,0
193,-0.1882,-0.4148,-0.9791,0.798,-0.43,-1.0108,-1.6225,-0.1226,-1.294,-0.1493,-1.0166,0
194,-1.1179,-0.5096,-2.1885,1.0998,-3.3154,-0.7625,-1.2751,-0.061,-1.1075,0.0749,-1.5974,0
195,-1.292,-0.3998,-0.7779,-0.1394,-0.9656,-0.0346,-1.347,-0.4417,-0.3335,1.0072,-0.0822,0
196,-0.6573,-0.8124,-2.2819,1.2102,-2.7066,-0.9749,-1.934,-1.4646,-1.3195,-0.7116,-1.3129,0
197,-0.2376,-0.4451,-1.7354,-0.3672,-0.7443,-0.0315,-0.5814,-0.3718,-0.6935,-0.6987,-1.8599,0
198,-1.3251,-0.8196,-2.3053,-0.365,-2.8008,-0.1153,-1.1756,-0.7689,-2.2084,-1.1718,-2.0619,0
199,-1.6137,-0.3911,-1.9267,0.2889,-0.8064,-1.0597,-2.0861,-0.5585,-1.686,-1.1687,-3.3895,0
200,-1.8651,-0.4731,-2.4416,-2.8218,-3.8067,-1.3903,-1.7077,-1.4197,-1.2227,-1.7661,-1.5023,0
201,0.0933,-0.3805,-1.9225,0.272,-3.4146,-0.7961,-1.119,-1.039,-0.6734,-0.9532,-2.1389,0
202,-0.6135,-0.5498,-1.8646,0.5298,-2.9519,-0.6377,-1.4137,-0.0838,-1.9877,-1.9706,-2.4532,0
203,0.6958,-0.1674,-0.6369,1.6266,2.7033,-0.3354,-0.1019,-0.9221,4.0274,1.1923,-2.691,0
204,-0.1664,-0.5747,-1.2349,-0.4849,-0.4235,-0.4408,-1.2436,-0.2801,-1.713,-0.5128,1.3561,0
205,-1.0373,-0.6316,-1.7602,-0.6938,-3.9614,-1.6611,-0.7931,0.6007,-1.9656,-1.3018,-1.7102,0
206,-0.7965,-0.5231,-1.9677,2.0517,-3.0774,-0.699,-1.5897,-0.8075,-1.1185,-0.6518,-0.2482,0
207,1.3901,-0.562,-0.3699,4.6708,1.5726,-0.4811,-0.6907,0.8774,6.0037,0.146,1.3828,0
208,-0.1571,-0.8339,-1.3826,1.5612,-1.9752,-0.7525,-1.1707,-0.2362,2.2262,-1.8198,-1.6762,0
209,-0.8672,-0.7159,-2.5529,0.2864,-2.3757,-0.8904,-1.2595,-1.1716,0.4152,-1.6364,-1.9502,0
210,-0.7055,-0.6415,-1.3865,0.5518,-3.1132,-1.4545,-1.3587,0.1072,-0.8722,-1.1047,-1.3141,0
211,-1.4486,-0.5845,-1.2478,-1.4268,-2.5269,-1.7148,-1.4362,1.1996,0.3339,-1.5249,-2.0374,0
212,-0.3477,-0.595,-1.4662,2.1315,-3.1159,-1.0023,-1.0692,0.5521,-0.1436,-0.2048,-1.5841,0
213,-0.9727,-0.4744,0.0562,0.3907,0.6519,0.0635,-0.7957,-0.3198,-0.3392,1.0674,-1.8495,0
214,-1.8281,-0.3995,-3.117,-0.0682,-4.7316,-1.5555,-2.1619,-0.9474,-1.9127,-1.8769,-2.3257,0
215,-1.1032,-0.2898,-1.9958,-0.4441,-2.1864,-1.1417,-1.6358,-1.2171,-0.9349,-1.7206,-2.1518,0
216,-1.2955,-0.431,-2.2149,-0.8834,-1.9531,-1.3092,-1.8185,-0.6925,-0.9349,-2.3948,-1.8051,0
217,-0.9846,-0.2308,-1.9175,-0.2661,2.1569,-0.8775,-1.4353,-1.0519,-1.3226,-0.0627,-1.6532,0
218,-1.7186,-0.4885,-2.656,-2.2283,-3.6474,-1.4984,-2.2658,-1.4796,-2.609,-1.3403,-3.0713,0
219,-0.7024,-0.4121,-1.6065,-0.9677,2.6352,-0.821,-1.2119,-1.6213,-0.1068,-0.5984,-0.4295,0
220,-1.255,-0.5011,-2.4236,-1.5938,-0.017,-0.4761,-1.9784,-0.5163,-1.0168,-2.973,-1.725,0
221,-1.4817,-0.4679,-1.1345,-0.1744,-1.6932,0.0507,-1.4573,-0.6588,1.2133,-0.5366,0.014,0
222,-0.3843,-0.2813,0.2205,1.1433,2.5095,0.3606,-0.5424,1.8225,-0.869,0.6575,-0.0208,0
223,-0.6269,-0.2138,-1.6871,1.4842,-3.8096,-1.347,-1.5945,-1.2969,-1.4903,-0.7019,0.266,0
224,-0.9812,-0.6715,-0.261,-0.9386,0.2156,-0.1502,-0.2502,0.2181,-0.8512,0.6627,0.6285,0
225,-2.0347,-0.3136,-1.787,0.7062,-0.9566,-1.0638,-1.4042,-0.207,1.2416,-1.6607,-1.7473,0
226,1.4679,-0.4264,0.8885,4.8613,2.609,-0.0109,-0.3053,1.85,1.4402,2.1852,-0.3393,0
227,-0.1944,-0.4343,-0.9695,-0.4097,-0.6744,-0.8144,-1.2999,-0.9173,1.7674,0.5495,-0.6117,0
228,-1.0393,-0.5479,-1.5764,0.0615,-1.774,-1.8699,-1.6659,0.015,-1.3909,-1.9041,-0.3792,0
229,-0.7627,-0.5404,-1.2014,0.8759,3.8243,-0.4767,-1.7378,4.8475,-1.9408,2.0649,-1.3295,0
230,-0.8286,2.5645,-1.3667,0.7918,-0.968,0.0161,-1.0936,0.1138,0.4009,-0.9737,0.3587,0
231,-2.6115,-0.5546,-1.7004,1.8826,-0.9322,-0.1819,-1.255,-1.2688,0.7611,-0.9284,-0.9199,0
232,-1.3318,-0.8264,-2.275,1.3888,-1.9092,-0.8314,-1.8692,0.0791,-0.804,-1.5299,-1.5679,0
233,0.7656,-0.4053,-0.8034,0.9492,-2.2348,0.2124,-1.2705,-0.1659,1.6618,-1.9186,-1.9356,0
234,-2.0142,-0.1656,-1.6928,-1.7673,-2.2783,-0.7276,-2.1785,-1.5571,0.6538,-0.909,-2.3302,0
235,-0.0721,0.0985,-1.3366,2.2726,-0.0391,-1.0886,-1.2426,-1.2983,-1.035,-1.5282,-1.4815,0
236,2.6896,2.5832,0.3118,4.6509,1.6913,0.3109,-0.0933,2.725,1.9989,0.452,-0.666,0
237,-0.7652,-0.439,-2.3467,-1.0424,-1.5824,-0.8605,-1.9159,-0.2255,-1.4486,-2.1372,-1.3697,0
238,-0.3356,-0.6015,-1.7507,1.4132,-1.8141,0.0784,-0.9587,-1.1252,-1.5968,-0.095,-0.0376,0
239,0.4135,-0.4727,-1.7746,0.6413,-3.6446,-2.0368,-1.6386,-0.1943,0.8123,-0.2284,-2.1102,0
240,-0.3699,-0.1342,-1.7643,-1.5509,-3.1896,-1.6885,-1.9488,-0.6939,-0.9905,-0.6727,-2.4452,0
241,-0.1093,-0.7449,-1.8898,-1.6307,-0.7969,-0.4354,-1.5345,-0.3747,-1.2203,0.1474,-2.4727,0
242,0.555,-0.6592,-1.3589,3.0085,1.7304,0.0086,0.0619,1.1762,-0.0762,-0.8709,1.5284,0
243,0.5111,1.3307,-2.039,2.9727,0.1968,-0.2354,-1.6566,-0.5926,2.7181,-2.0206,-1.28,0
244,0.2677,-0.4372,-0.8861,2.6116,-1.4535,-0.4347,-1.0235,1.1418,-0.1737,-1.6124,-1.2362,0
245,-0.5627,-0.5534,-1.1561,0.5446,-1.4303,-0.8332,-1.1731,-0.3912,-0.6017,-0.4176,-1.3727,0
246,-0.2915,-0.7799,-1.567,1.1697,-0.4202,0.9013,-1.1233,0.2014,-0.3556,0.9284,-1.4503,0
247,-0.5135,-0.165,-2.6332,0.6623,-1.6966,-0.4319,-1.573,-0.8741,-0.2372,-0.0481,-1.4376,0
248,-0.5046,-0.5012,-2.0581,-1.1925,0.3122,-0.6106,-1.2259,-0.322,-1.7346,-0.7045,-0.9607,0
249,0.2641,-0.1674,-0.9147,4.3201,4.6327,-1.9582,-1.0468,3.0223,1.8237,-0.4167,0.7917,0
250,-1.1351,-0.843,-2.2792,-0.9551,-1.5511,-1.5802,-1.8621,-1.595,-0.9601,0.2613,-2.683,0
251,-2.0924,0.329,-2.0816,-2.2481,-0.7355,-0.622,-2.1643,-1.3351,-0.0516,-1.8177,-0.9196,0
252,-2.7021,-0.5403,-1.4421,-0.3987,-2.5369,-0.6082,-1.9117,-1.146,-1.9024,-0.7994,-0.8382,0
253,-0.8558,-0.3982,-1.9859,4.8389,1.0442,-0.4913,-1.281,0.7578,-1.5352,-0.1961,-1.3867,0
254,-0.1336,0.1711,-1.7059,3.262,2.1096,-1.5474,-0.4133,-0.4037,-0.5491,-1.8355,-0.3358,0
255,-0.1864,-0.4079,-1.006,-0.5266,2.0131,0.0641,-0.0177,-0.292,0.782,-0.522,-0.8892,0
256,-0.2284,-0.4426,-1.144,0.9168,1.0716,1.1843,-1.8358,0.9662,1.5133,0.6449,-1.4814,0
257,1.4447,-0.2002,1.4063,2.5641,0.6475,3.2035,0.2823,2.6497,2.1509,0.9179,0.3014,0
258,-0.8134,-0.639,-1.5039,1.4685,-3.7066,-0.5045,-2.0648,-0.2982,-1.1021,-1.1212,-1.6773,0
259,0.1141,6.8982,-0.2906,1.8321,0.1372,-0.3588,-1.2421,0.5266,1.2085,-0.3957,-0.0211,0
260,-0.2236,-0.4767,-0.7283,0.1588,0.1426,-0.3863,-0.2906,-0.2943,-0.939,-1.6236,-1.6413,0
261,-1.9027,-0.6979,-2.5549,-1.8721,-1.0768,-0.9641,-1.8042,-1.1821,-0.8217,-1.3773,-2.59,0
262,-1.3687,-0.5469,-2.5791,-2.5068,-0.919,-1.3532,-2.1215,-2.4139,-2.3699,-0.7971,-2.5395,0
263,-1.7299,-0.1739,-1.4613,0.2665,-0.1671,-0.1035,-0.8129,-1.4115,-0.9989,-0.4166,-1.2562,0
264,0.8903,-0.2912,-1.2353,3.7588,1.4541,0.4032,-1.4901,0.3554,0.2681,-0.9749,-0.9806,0
265,-0.2119,-0.6262,-2.2763,1.6836,-0.9862,-1.0501,-1.5867,-0.577,-0.7369,-0.9649,-1.8882,0
266,-1.6629,-0.3858,-2.0107,-0.7572,-0.3525,-0.1924,-1.5041,-1.1682,-0.1907,-0.6773,-2.182,0
267,-1.4583,-0.4084,-1.3693,0.3367,1.0082,0.2597,-1.0019,-0.8643,-0.7132,-1.8825,-1.8288,0
268,-0.4597,-0.6894,-1.7936,0.991,-1.2352,-1.1815,-1.9424,0.2154,-0.6754,-1.0684,-2.1164,0
269,0.2919,-0.5712,-0.0057,0.027,-2.9999,-0.3481,-1.3572,0.2312,0.1305,-1.0475,-1.6649,0
270,1.3796,-0.3759,-1.169,2.1117,-1.4135,-0.6504,-1.3006,0.2213,0.0172,-1.2686,-1.0788,0
271,-0.9573,-0.5167,-1.3396,-0.3474,0.6179,-1.582,-1.046,1.017,-1.2349,5.2428,0.641,0
272,-1.2665,-0.3792,-2.574,-0.3752,1.1059,-1.565,-1.7686,-1.4633,-2.631,-0.9808,-2.9659,0
273,-0.4502,0.8684,-2.0258,2.8627,2.7295,-0.5791,-1.3196,1.3804,-0.429,-1.2762,-2.042,0
274,0.6564,-0.3458,-1.2329,1.3728,-0.1535,0.1148,-1.5383,-0.5443,-0.2656,1.027,-0.623,0
275,-1.1311,-0.3347,-1.9165,-0.0675,-1.6841,-0.4094,-1.4195,-0.4043,-0.6307,-1.8045,-1.2257,0
276,-2.3532,-0.5445,-1.5952,-2.2758,-1.6818,-0.9785,-2.0824,-1.1523,-2.1068,-1.9705,0.2556,0
277,-0.646,-0.4362,-1.7317,0.4965,-3.1369,-1.7963,-1.5757,0.1105,-1.9259,-0.9486,-1.9615,0
278,-0.4042,-0.5202,-2.3186,-1.7202,-2.5137,-1.2423,-1.4745,-1.0771,-1.6704,-1.1831,-1.8903,0
279,-0.8023,-0.2841,-1.5423,0.7426,-0.6022,-0.9795,-1.4738,-0.9144,3.0019,-0.7536,-1.5284,0
280,-0.1939,-0.42,-1.8901,1.2269,-1.3096,-0.2105,-1.2575,0.4446,-1.4289,-2.2363,-1.0064,0
281,0.0558,-0.7117,-1.0279,1.7551,-0.3796,-0.7096,-1.293,0.4536,-2.297,-1.3892,0.9456,0
282,-0.1434,0.0733,1.0033,0.7772,0.3608,0.4527,-0.2349,0.1676,0.9806,-0.9124,1.9186,0
283,-1.3421,-0.6361,-1.7306,-1.6901,-1.9883,-0.8989,-1.3749,-0.0779,-1.372,1.6805,-0.7999,0
284,-1.0217,-0.4396,-2.3781,-1.8826,-1.4758,-0.9824,-1.185,-1.1465,-2.0804,-1.8455,-1.6067,0
285,-1.7152,-0.8635,-2.1795,-1.8777,1.1584,0.2623,-1.351,-1.3392,-0.7965,-1.8469,-1.7769,0
286,-0.6513,-0.5786,-1.6297,1.8701,-0.2403,0.1511,-0.5164,-1.0559,-1.8628,-1.2494,0.0735,0
287,-0.8048,-0.6472,-1.9653,0.9275,-1.1685,-1.3855,-1.4051,-0.532,-1.6582,-0.7069,-1.4617,0
288,-0.7661,-0.676,-2.4097,-0.1743,-2.6678,-1.3203,-1.5304,-1.0062,-2.4216,-1.5811,-1.9708,0
289,-1.8937,-0.3121,-2.0246,0.5301,2.649,-0.7904,-1.5382,-0.538,-0.4733,-1.152,-2.5807,0
290,-0.8202,-0.4578,-1.6006,1.8078,0.5349,-0.0877,-1.3011,-0.0854,-1.2557,-2.0257,-1.3954,0
291,-0.3374,-0.4138,-1.9713,2.7839,-2.5961,-1.3465,-1.5784,-0.3551,-0.5979,-0.96,-1.7137,0
292,-0.8306,-0.6892,-1.5704,-1.6856,-0.9933,-0.9906,-1.2246,-0.9493,-1.6455,0.77,-2.2534,0
293,-1.3511,-0.3626,-2.2105,0.2632,-2.3903,-0.3812,-1.653,-1.0269,-0.8771,-1.7072,-1.9853,0
294,-0.8381,-0.5965,-2.2615,-1.5538,-2.0067,-1.6829,-1.8713,-1.4356,-1.5593,-2.1149,-2.2718,0
295,-0.0761,1.3244,-0.9263,1.7087,0.4409,0.0326,-0.7195,-0.251,-0.91,1.4212,-0.2377,0
296,0.123,-0.5311,-0.4382,0.4351,0.2596,-0.6654,-0.3604,0.7121,0.2987,-1.2606,-1.2168,0
297,-0.2008,0.1849,-1.9182,1.1945,-0.7251,0.5595,-1.2869,-1.4749,0.2963,-0.095,-2.0489,0
298,-2.0454,-0.5367,-2.253,-1.4254,-4.2119,-0.8873,-1.4283,-1.2059,-0.8368,-0.7367,-2.3928,0
299,-0.4117,-0.2992,-1.8455,2.081,-0.7938,0.035,-1.0356,-0.3943,-0.9185,-0.6777,-0.1327,0
300,-1.4788,0.2499,-1.6698,-0.5413,-1.6961,-0.2783,-1.3658,-0.7358,-0.3089,-1.728,-1.3289,1
301,-0.1199,1.0006,-1.7183,2.3744,0.916,-0.8727,-1.2928,0.2492,-0.7648,-1.293,-1.5457,1
302,0.3971,1.2467,-1.3357,3.7423,0.6942,-0.5701,-0.6603,0.6477,1.7489,1.0042,0.7337,1
303,-0.2267,-0.612,-0.2333,-0.9349,2.0861,1.0051,-0.5264,0.0309,-0.7026,4.271,-1.1411,1
304,-1.1703,5.2078,-0.3897,-0.1269,2.0738,-0.6312,-0.9107,-0.0671,1.4209,1.0018,1.2965,1
305,-0.1655,-0.6776,-1.8491,1.0319,1.2613,-0.6438,-1.2467,-0.3764,-0.317,-0.7777,0.1129,1
306,-0.3173,-0.4551,-2.0934,3.4654,2.2664,-0.7275,-1.5926,0.2633,-0.4432,-0.3823,0.1339,1
307,-0.681,-0.5284,0.4121,3.033,0.4305,0.7766,-0.824,-0.4539,0.2356,0.8902,-1.0914,1
308,-0.0312,-0.5389,-1.328,1.4563,2.8875,1.437,0.0431,1.07,5.1099,0.8112,-0.4369,1
309,0.3324,-0.4093,0.0911,0.9731,0.2866,0.0446,1.8799,0.0009,5.6295,2.0805,0.6329,1
310,2.6956,0.5287,0.8285,4.4975,4.7982,0.3775,1.1901,2.9389,0.5655,2.8119,0.0035,1
311,-0.2454,-0.4966,-0.9168,3.3268,3.4583,-0.5245,-0.2872,1.6184,-1.8982,-0.834,-0.241,1
312,-0.1268,-0.3011,-1.4345,-0.1735,1.6857,-0.1688,-1.0755,1.6595,0.5176,3.6428,0.4174,1
313,-0.4822,0.5863,-0.6767,3.4129,2.1824,0.0769,-0.7349,0.9809,2.4893,2.9789,0.1196,1
314,-0.3457,-0.5093,-1.3301,3.0675,2.0307,-0.4493,-1.7367,0.5496,1.2624,-1.8018,-0.6587,1
315,-0.4525,0.129,0.2764,1.0462,1.1066,-0.8922,-0.4923,0.1294,1.2068,1.7462,0.1842,1
316,1.8613,-0.684,0.751,1.2924,2.1862,0.2367,1.9734,2.794,5.5642,-0.161,2.7754,1
317,0.706,-0.1071,-1.154,1.0797,0.4747,-1.3886,0.2125,0.5661,3.1341,0.9467,0.2672,1
318,-0.8179,1.5411,-1.9434,2.5885,0.6221,-1.0272,-1.7744,-0.1993,0.7016,-1.2963,0.1722,1
319,-0.1862,-0.3054,-1.7186,-1.2033,0.6362,8.782,-1.2151,1.1592,-0.4189,-1.032,-0.0193,1
320,1.0852,-0.5514,-0.2639,1.3841,2.7828,0.7103,-0.3832,4.3898,-0.7026,2.9356,1.1661,1
321,-0.1362,-0.2398,-0.2643,0.8616,-0.2657,0.546,-1.2235,-0.2343,0.0355,-1.472,-0.0923,1
322,1.0962,-0.4926,0.2798,3.7999,3.1437,1.2795,0.0035,1.2751,0.4695,0.6027,-0.6469,1
323,-0.9744,-0.3746,-2.1492,0.2884,-1.7484,-0.9873,-1.4731,-0.4534,3.5062,-0.9271,0.5213,1
324,0.4424,1.6089,-0.8433,-0.5175,3.5139,0.405,-0.2074,-1.3455,2.7313,1.324,-1.0597,1
325,-1.0623,-0.4779,-0.0499,-0.8984,1.1069,0.232,-0.7662,-0.5249,-0.9876,0.8627,0.4132,1
326,-0.1072,-0.1355,-1.8284,0.3528,-0.4777,-0.7687,-1.2971,-0.7768,-1.7154,0.7799,-1.0091,1
327,0.842,-0.2589,0.1748,2.9916,3.1388,0.1786,-0.4985,3.0761,1.5323,3.7128,0.1431,1
328,1.3821,-0.3704,0.0934,3.3264,2.5116,-0.1316,-1.0352,3.8266,-0.6327,2.2019,-0.7045,1
329,0.6167,-0.3265,-0.5505,1.7968,1.0497,0.406,-0.805,0.2057,-0.1362,0.4751,-0.0404,1
330,0.4996,-0.7934,0.3543,1.5541,2.4033,0.2414,-0.2737,2.7772,-1.385,1.7791,1.4798,1
331,1.6778,-0.4078,0.384,5.1411,2.793,0.7328,0.3562,3.3672,2.5554,0.4361,0.6061,1
332,-2.3686,-0.6952,-2.4301,-2.2315,-2.773,-1.9605,-1.7962,-0.8906,-1.8216,-1.9502,0.6181,1
333,-0.2634,4.4864,0.6448,1.2974,2.0194,1.3702,0.4592,0.1199,1.6056,1.7063,-0.5389,1
334,1.1478,4.0726,-1.1097,3.2954,-1.8295,-0.4265,-1.2515,1.8152,0.8893,-1.4101,-0.6206,1
335,0.1657,-0.3644,-1.2406,2.9659,-1.0306,-0.5282,-0.9465,0.238,-0.3508,-1.2618,0.2267,1
336,0.7853,0.2041,-0.3377,1.744,-1.9354,-0.6059,-1.1368,0.4851,0.7852,0.0351,0.7177,1
337,0.8496,-0.1947,0.839,3.8247,0.6115,3.8622,-0.2291,1.1093,2.1214,3.31,1.0332,1
338,1.0587,-0.4507,-0.7789,3.8261,-1.2372,0.6561,-0.5488,0.8657,-0.7243,0.3844,1.2588,1
339,1.0832,0.3672,0.0824,4.8704,2.1331,-0.4734,-0.3291,2.3867,0.9885,1.1664,1.8874,1
340,-1.4993,1.7721,-1.6721,1.8062,0.126,-0.1533,-1.5509,-0.8692,0.1633,-0.7645,-2.4301,1
341,-0.8065,-0.5824,-0.5414,3.3035,0.722,-1.5574,-0.8855,1.5468,-0.648,0.584,1.2652,1
342,0.6148,1.0917,-0.6373,1.6378,2.1902,1.0758,-1.4417,1.2397,0.5175,-0.0589,-0.6997,1
343,2.0035,0.0548,0.3649,4.4505,2.8681,0.8472,-0.1488,1.7518,-0.1014,1.0035,-0.7984,1
